"color","spine","width","weight","n.satellites"
"dark medium","both good",27,2.45,3
"medium","both bad",27,2.5,6
"dark medium","both bad",27,2.5,6
"dark","both bad",27,2.63,0
"light medium","both good",27.1,2.95,8
"dark medium","both bad",27.1,2.55,0
"dark medium","both bad",27.2,2.4,5
"medium","both bad",27.2,2.7,3
"dark medium","both bad",27.3,2.9,1
"medium","both bad",27.4,2.7,5
"light medium","both good",27.4,2.7,6
"medium","both bad",27.4,2.9,3
"medium","both bad",27.5,3.15,6
"dark","both bad",27.5,2.9,0
"medium","both bad",27.5,2.55,1
"medium","both bad",27.5,2.63,6
"dark","both bad",27.5,2.6,0
"dark medium","both bad",27.5,3.1,3
"medium","both bad",27.6,2.85,4
"light medium","both good",27.7,2.5,6
"medium","both bad",27.7,2.9,5
"medium","both good",27.8,2.75,0
"medium","both bad",27.8,3.25,3
"medium","both bad",27.9,3.05,7
"medium","both bad",27.9,2.8,6
"light medium","both good",28,2.62,0
"medium","both bad",28,2.8,1
"medium","both good",28,2.9,4
"medium","both bad",28.2,2.6,6
"medium","both bad",28.2,3.05,8
"medium","both bad",28.2,3.05,11
"medium","both bad",28.2,2.87,1
"medium","both bad",28.3,3.05,8
"medium","both bad",28.3,3,15
"medium","both bad",28.3,3.2,0
"dark medium","both bad",28.4,3.2,3
"medium","both good",28.4,3.1,5
"medium","both bad",28.5,3.05,0
"dark medium","both bad",28.5,3,1
"dark medium","both good",28.5,3.25,9
"medium","both bad",28.5,3,3
"medium","both good",28.7,3.2,0
"medium","both bad",28.7,3.15,3
"dark medium","both bad",28.9,2.8,4
"medium","both bad",29,3,1
"dark medium","both bad",29,3.28,4
"medium","both bad",29,3.2,10
"dark medium","both bad",29,2.92,3
"medium","both good",29,2.8,1
"medium","both bad",29,3.1,1
"light medium","both good",29.3,3.2,4
"dark","both bad",29.3,3.23,12
"medium","both bad",29.5,3.02,4
"medium","both good",29.7,3.85,5
"dark medium","mixed",29.8,3.5,4
"medium","both bad",30,3.05,8
"medium","both bad",30,3,9
"medium","both good",30,3.3,5
"light medium","both good",30.2,3.28,2
"medium","both good",30.3,3.6,3
"medium","both bad",30.5,3.32,3
"medium","both good",31.7,3.73,4
"medium","both bad",31.9,3.33,2
"medium","both good",33.5,5.2,7
